,title,doi,publisher
845,Chapter Twelve: Designing Cognitively Efficient Visualizations,10.1016/b978-0-12-812875-6.00012-8,Elsevier
846,Characterisation of the antioxidant peptide AEEEYPDL and its quantification in Spanish dry-cured ham,10.1016/j.foodchem.2018.03.035,Elsevier BV
847,Characterization and Analysis of PCS1 Gene from Wheat,10.35691/jbm.6102.0063,Centre for Bioresource Research
848,Characterization of airborne antibiotic resistance genes from typical bioaerosol emission sources in the urban environment using metagenomic approach,10.1016/j.chemosphere.2018.09.066,Elsevier BV
849,Characterization of a Mouse Model of Börjeson-Forssman-Lehmann Syndrome,10.32388/pg1z1x,Qeios
850,Characterization of antibiotic resistance genes in the sediments of an urban river revealed by comparative metagenomics analysis,10.1016/j.scitotenv.2018.11.052,Elsevier BV
851,Characterization of behaviour and hazards of fire and deflagration for high-energy Li-ion cells by over-heating,10.1016/j.jpowsour.2018.07.044,Elsevier BV
852,Characterization of cell death mechanism in Toxoplasma gondii tachyzoites induced by pro-oxidants and deprivation of host cells,10.1016/0014-4894(85)90053-0,Elsevier BV
853,Characterization of interstitial heterogeneity in the developing kidney,10.1101/2020.03.02.973966,Cold Spring Harbor Laboratory
854,Characterization of microphones for snoring and breathing events analysis in mHealth,10.1109/embc.2017.8037131,IEEE
855,Characterization of the BspA and Pmp protein family of trichomonads,10.1186/s13071-019-3660-z,Springer Science and Business Media LLC
856,"Characterization of the Commercially-Available Fluorescent Chloroquine-BODIPY Conjugate, LynxTag-CQ. sub. GREEN, as a Marker for Chloroquine Resistance and …",10.1371/journal.pone.0110800,Public Library of Science (PLoS)
857,Characterization of xanthan gum produced from glycerol by a mutant strain Xanthomonas campestris CCTCC M2015714,10.1016/j.carbpol.2016.10.033,Elsevier BV
858,Characterizing the Metabolic Limitations of Protein Synthesis in Model Systems,10.21236/ada435855,Defense Technical Information Center
859,CHEMGENIE: integration of chemogenomics data for applications in chemical biology,10.1016/j.drudis.2017.09.004,Elsevier BV
860,"Chemically modified carbon paste and membrane sensors for the determination of benzethonium chloride and some anionic surfactants (SLES, SDS, and LABSA): Characterization using SEM and AFM",10.1016/j.talanta.2016.04.043,Elsevier BV
861,Chemical Reaction Optimization: A Survey with Application and Challenges,10.1007/978-981-13-0514-6_50,Springer Singapore
862,"Chest imaging using signs, symbols, and naturalistic images: a practical guide for radiologists and non-radiologists",10.1186/s13244-019-0789-4,Springer Science and Business Media LLC
863,chicken? or the egg?,10.1007/978-1-4615-0811-3_56,Springer US
864,Chicoric Acid Improves Heart and Blood Responses to Hypobaric Hypoxia in Tibetan Yaks,10.1142/s0192415x18500179,World Scientific Pub Co Pte Lt
865,Chikungunya virus evolution following a large 3 ' UTR deletion results in host-specific molecular changes in protein-coding regions,10.1093/ve/vey012,Oxford University Press (OUP)
866,Chimeric RNA,10.1007/978-1-4939-9904-0_11,Springer US
867,Chimeric Vaccines Designed by Immunoinformatics-Activated Polyfunctional and Memory T Cells That Trigger Protection against Experimental Visceral Leishmaniasis,10.3390/vaccines8020252,MDPI AG
868,Chinese News Hot Subtopic Discovery and Recommendation Method Based on Key Phrase and the LDA Model,10.12783/dtetr/ecar2018/26371,DEStech Publications
869,Chirality in microbial biofilms is mediated by close interactions between the cell surface and the substratum,10.1038/ismej.2017.19,Springer Science and Business Media LLC
870,Chitosan for gene delivery: Methods for improvement and applications,10.1201/9780203500477.ch18,CRC Press
871,Chloramphenicol Derivatives with Antibacterial Activity Identified by Functional Metagenomics,10.1021/acs.jnatprod.7b00903.s001,American Chemical Society (ACS)
872,"Chlorophyte aspartyl aminopeptidases: Ancient origins, expanded families, new locations, and secondary functions",10.1371/journal.pone.0185492,Public Library of Science (PLoS)
873,CHPC Bibliography,10.1063/1.4960142,AIP Publishing
874,Chromatin-associated RNA sequencing (ChAR-seq) maps genome-wide RNA-to-DNA contacts,10.7554/elife.27024.036,"eLife Sciences Publications, Ltd"
875,Chromatin Immunoprecipitation (ChIP) Assay-A Tool for Functional Analysis of Gene Expression,10.17504/protocols.io.humb6u6,"ZappyLab, Inc."
876,Chromatin-informed inference of transcriptional programs in gynecologic and basal breast cancers,10.1101/333757,Cold Spring Harbor Laboratory
877,Chromatin remodeling mediated by ARID1A is indispensable for normal hematopoiesis in mice,10.1038/s41375-019-0438-4,Springer Science and Business Media LLC
878,Chromosome-level reference genome of the jellyfish Rhopilema esculentum,10.1093/gigascience/giaa036,Oxford University Press (OUP)
879,Chronic administration of nandrolone increases susceptibility to morphine dependence without correlation with LVV-hemorphin 7 in rats,10.1016/j.npep.2016.05.005,Elsevier BV
880,Cilostamide and rolipram prevent spontaneous meiotic resumption from diplotene arrest in rat oocytes cultured in vitro,10.1016/j.ejphar.2020.173115,Elsevier BV
881,Cilostamide and rolipram prevents spontaneous resumption from diplotene arrest in rat oocytes cultured in vitro,10.1016/j.ejphar.2020.173115,Elsevier BV
882,Cinema and Brexit: The Politics of Popular English Film,10.5040/9781350104501.0006,Bloomsbury Academic
883,Cinnamate: CoA‐ligase is involved in benzoate‐derived biphenyl phytoalexin biosynthesis in Malus× domestica 'Golden Delicious' cell cultures,10.1111/tpj.14506,Wiley
884,Circadian rhythm-dependent and circadian rhythm-independent impacts of the molecular clock on type 3 innate lymphoid cells,10.1007/springerreference_93486,Springer-Verlag
885,Circulating Tumor Cell cluster phenotype allows monitoring response to treatment and predicts survival,10.1038/s41598-019-44404-y,Springer Science and Business Media LLC
886,Cisgenesis A Sustainable Approach of Gene Introgression and Its Utilization in Horticultural Crops: A Review,10.1016/b978-0-12-810439-2.00003-9,Elsevier
887,Citizen Science 47,10.1038/scientificamerican1073-47,Springer Science and Business Media LLC
888,Citizen science and sustainability transitions,10.24043/isj.8,Institute of Island Studies
889,Citizen science as a catalyst for community resilience building: A two-phase tsunami case study,10.31227/osf.io/6xfze,Center for Open Science
890,"City Integration and Tourism Development in the Greater Bay Area, China",10.4324/9780429290725-3,Routledge
891,Classical defocussing of world lines—Cosmological Implications,10.1016/j.aop.2020.168115,Elsevier BV
892,Classification of and determination of total hardness of water using silver nanoparticles,10.1016/j.talanta.2020.121297,Elsevier BV
893,Classification of Galaxies using Convolutional Neural Networks (CNN),10.22214/ijraset.2020.5215,International Journal for Research in Applied Science and Engineering Technology (IJRASET)
894,Classification of galaxy color images using quaternion polar complex exponential transform and binary Stochastic Fractal Search,10.1016/j.ascom.2020.100383,Elsevier BV
895,Classification of proteins with shared motifs and internal repeats in the ECOD database,10.1002/pro.2893,Wiley
896,Classification of star/galaxy/QSO and star spectral types from LAMOST Data Release 5 with machine learning approaches,10.1016/j.cjph.2020.03.008,Elsevier BV
897,"Climate warming and management impact on the change of phenology of the rice-wheat cropping system in Punjab, Pakistan",10.1016/j.fcr.2018.10.008,Elsevier BV
898,Clinical Effectiveness of Acupuncture at Liv3 as Complementary Therapy for Relieving Pain at Dysmenorrhea,10.1016/j.wjam.2018.07.003,Elsevier BV
899,Cloning of ground-state intestinal stem cells from endoscopic biopsy samples,10.1038/s41596-020-0298-4,Springer Science and Business Media LLC
900,Closing in on the origin of Galactic cosmic rays using multimessenger information,10.1016/j.physrep.2020.05.002,Elsevier BV
901,Cloud-Based Tools for Next-Generation Sequencing Data Analysis,10.1002/9783527644582.ch24,Wiley-VCH Verlag GmbH & Co. KGaA
902,Clues on the history of early-type galaxies from SDSS spectra and GALEX photometry,10.1063/1.1913953,AIP
903,Clustered Hierarchical Entropy-Scaling Search of Astronomical and Biological Data,10.1109/bigdata47090.2019.9005688,IEEE
904,Clustering 3K PBMCs with Scanpy,10.37473/dac/10.1101/2020.04.10.035865,"Rescognito, Inc."
905,Coarse-Grained (Hybrid) Integrative Modeling of Biomolecular Interactions,10.1021/acs.jctc.9b00310.s001,American Chemical Society (ACS)
906,CoBATCH for High-Throughput Single-Cell Epigenomic Profiling,10.1101/590661,Cold Spring Harbor Laboratory
907,Cognitive constraints on optimal foraging in frog-eating bats,10.3410/f.734511023.793553557,Faculty Opinions Ltd
908,Cognitive reserve mediates the severity of certain neuropsychological deficits related to cocaine use disorder,10.1016/j.addbeh.2020.106399,Elsevier BV
909,Collaborative and Efficient Privacy-Preserving Critical Incident Management System,10.1016/j.eswa.2020.113727,Elsevier BV
910,Collaborative representation of blur invariant deep sparse features for periocular recognition from smartphones,10.1016/j.imavis.2020.103979,Elsevier BV
911,Collective motion and adhesin dynamics of Plasmodium sporozoites,10.1186/isrctn17372582,Springer Science and Business Media LLC
912,Color Atlas of Gross Placental Pathology,10.1007/978-0-387-33843-9,Springer New York
913,Color Calibration on Human Skin Images,10.2352/issn.2169-2629.2019.27.17,Society for Imaging Science & Technology
914,Combating tigecycline resistant Acinetobacter baumannii: A leap forward towards multi-epitope based vaccine discovery,10.1016/j.ejps.2019.02.023,Elsevier BV
915,Combinatorial Metabolic Engineering Using a CRISPR System,10.1038/s41467-017-01695-x,Springer Science and Business Media LLC
916,Combined application of bio-organic phosphate and phosphorus solubilizing bacteria (Bacillus strain MWT 14) improve the performance of bread wheat with low …,10.1016/j.bjm.2017.11.005,Springer Science and Business Media LLC
917,Combined application of bio-organic phosphate and phosphorus solubilizing bacteria (Bacillus strain MWT 14) improve the performance of bread wheat with low fertilizer input under an arid climate,10.1016/j.bjm.2017.11.005,Springer Science and Business Media LLC
918,Combined Mass Spectrometry Imaging and Top-down Microproteomics Reveals Evidence of a Hidden Proteome in Ovarian Cancer,10.1016/j.ebiom.2017.06.001,Elsevier BV
919,Cometary panspermia and origin of life?,10.1016/bs.adgen.2020.03.003,Elsevier
920,Command Queue-Aware Host I/O Stack for Mobile Flash Storage,10.1016/j.sysarc.2020.101758,Elsevier BV
921,Commentary: Prediction of pulmonary root dilatation after Ross operation: the power of protein shake?,10.1016/j.jtcvs.2019.08.023,Elsevier BV
922,Commercial probiotic cell-free supernatants for inhibition of Clostridium perfringens poultry meat infection in Egypt,10.1016/j.anaerobe.2020.102181,Elsevier BV
923,Common identity as a step to civilization longevity,10.1016/j.futures.2018.08.002,Elsevier BV
924,Common wearable devices demonstrate variable accuracy in measuring heart rate during supraventricular tachycardia,10.1016/j.hrthm.2020.02.018,Elsevier BV
925,Communicative Skills,10.15405/epsbs.2018.11.02.76,Cognitive-Crcs
926,COMMUNITIES AT A CROSSROADS,10.1108/sc-01-2014-0002,Emerald
927,Community-led comparative genomic and phenotypic analysis of the aquaculture pathogen Pseudomonas baetica a390T sequenced by Ion semiconductor and …,10.1093/femsle/fny069,Oxford University Press (OUP)
928,Comparative analysis of DNA repeats and identification of a Fesreba centromeric element in fescues and ryegrasses,10.21203/rs.2.24364/v2,Research Square
929,Comparative analysis of DNA repeats and identification of novel Fesreba centromeric element in fescues and ryegrasses,10.21203/rs.2.24364/v2,Research Square
930,Comparative analysis of positioning accuracy of Samsung Galaxy smartphones in stationary measurements,10.1371/journal.pone.0215562,Public Library of Science (PLoS)
931,Comparative analysis of two HIV-1 multiepitope polypeptides for stimulation of immune responses in BALB/c mice,10.1016/j.molimm.2020.01.013,Elsevier BV
932,Comparative Computational Modeling of Agonist Binding to the Leukotriene Receptors BLT 1 and BLT 2,10.1016/b978-008055232-3.60107-2,Elsevier
933,"Comparative effectiveness of different biochars and conventional organic materials on growth, photosynthesis and cadmium accumulation in cereals",10.1016/j.chemosphere.2019.04.041,Elsevier BV
934,"Comparative genetic, proteomic and phosphoproteomic analysis of C. elegans embryos with a focus on ham-1/STOX and pig-1/MELK in dopaminergic neuron development",10.1038/s41598-017-04375-4,Springer Science and Business Media LLC
935,Comparative genomics highlights symbiotic capacities and high metabolic flexibility of the marine genus Pseudovibrio,10.1093/gbe/evx271,Oxford University Press (OUP)
936,Comparative Metagenomics and Network Analyses Provide Novel Insights Into the Scope and Distribution of beta-Lactamase Homologs in the Environment,10.3389/fmicb.2019.00146,Frontiers Media SA
937,Comparative Metagenomics and Network Analyses Provide Novel Insights Into the Scope and Distribution of β-Lactamase Homologs in the Environment,10.3389/fmicb.2019.00146,Frontiers Media SA
938,Comparative RNA‐seq analysis of nickel hyperaccumulating and non‐accumulating populations of Senecio coronatus (Asteraceae),10.1111/tpj.14008,Wiley
939,Comparative study between conventional camera images and smartphone images for eyelid tumor telediagnosis,10.1111/joor.13094/v1/review1,Wiley
940,"comparative study [version 1; peer review: 1 approved, 2",10.31219/osf.io/y569z,Center for Open Science
941,Comparative transcriptome analysis of the transcriptional heterogeneity in different IgM(+) cell subsets from peripheral blood of Nile tilapia (Oreochromis niloticus),10.1016/j.fsi.2019.08.023,Elsevier BV
942,"Comparison of 432 Pseudomonas strains through integration of genomic, functional, metabolic and expression data",10.1038/srep38699,Springer Science and Business Media LLC
943,Comparison of clinical outcome of frozen embryo transfer after embryo selection based on morphokinetic versus morphologic criteria for freezing,10.15419/bmrat.v5i12.510,Biomedical Research and Therapy
944,"Comparison of the effects of major fatty acids present in the Mediterranean diet (oleic acid, docosahexaenoic acid) and in hydrogenated oils (elaidic acid) on 7-ketocholesterol-induced oxiapoptophagy in microglial BV-2 cells",10.1016/j.chemphyslip.2017.04.002,Elsevier BV
945,Comparison of Two Docking Methods for Peptide‐Protein Interactions,10.1002/jsfa.8880,Wiley
946,Comparison study on graph sampling algorithms for interactive visualizations of large-scale networks,10.1090/coll/060/10,American Mathematical Society
947,Compensatory Mutations in Protein Sequences from Big-Data,10.1016/j.bpj.2017.11.3142,Elsevier BV
948,Complement C1q is hydroxylated by collagen prolyl 4 hydroxylase and is sensitive to off-target inhibition by prolyl hydroxylase domain inhibitors that stabilize hypoxia- …,10.1016/j.kint.2017.03.008,Elsevier BV
949,Complement C1q is hydroxylated by collagen prolyl 4 hydroxylase and is sensitive to off-target inhibition by prolyl hydroxylase domain inhibitors that stabilize hypoxia-inducible factor,10.1016/j.kint.2017.03.008,Elsevier BV
950,Complete Genome Sequences of 44 Arthrobacter Phages,10.7717/peerj.5687/table-2,PeerJ
951,Complete genomic sequences of Propionibacterium freudenreichii phages from Swiss cheese reveal greater diversity than Cutibacterium (formerly Propionibacterium) …,10.1186/s12866-018-1159-y,Springer Science and Business Media LLC
952,Complex evolutionary footprints revealed in an analysis of reused protein segments of diverse lengths,10.3410/f.732110432.793538904,Faculty Opinions Ltd
953,"Complex Systems: Relationships between Control, Communications and Computing",10.1007/978-3-319-28860-4,Springer International Publishing
954,Compositions and Methods for Detecting and Treating Brain Injury Associated Fatigue and Altered Cognition (BIAFAC),10.1016/j.bandc.2011.06.011,Elsevier BV
955,Compositions and methods for identifying secretory antibody-bound microbes,10.1016/0734-9750(90)90911-t,Elsevier BV
956,COMPOSITIONS AND METHODS FOR REPROGRAMMING CELLS AND FOR SOMATIC CELL NUCLEAR TRANSFER USING DUXC EXPRESSION,10.1007/978-1-61779-225-0_4,Humana Press
957,COMPOSITIONS AND METHODS FOR TREATING LEUKEMIA,10.1016/s0734-9750(97)88702-2,Elsevier BV
958,Comprehensive anatomic ontologies for lung development: A comparison of alveolar formation and maturation within mouse and human lung,10.1186/s13326-019-0209-1,Springer Science and Business Media LLC
959,Comprehensive Evaluation of Fourteen Docking Programs on Protein-Peptide Complexes and A New Strategy for Improving the Performance of Global Docking,10.1021/acs.jctc.9b01208.s001,American Chemical Society (ACS)
960,Computational analyses prioritize and reveal the deleterious nsSNPs in human angiotensinogen gene,10.1016/j.compbiolchem.2019.107199,Elsevier BV
961,Computational analysis of deleterious SNPs of SLC45A2 involved in oculocutaneous albinism type 4,10.1016/j.genrep.2018.07.003,Elsevier BV
962,Computational Analysis of High-Risk SNPs in Human DBY Gene Responsible for Male Infertility: A Functional and Structural Impact,10.1007/s12539-018-0290-7,Springer Science and Business Media LLC
963,Computational and biological approaches for identification of Hedgehog signaling targets and their application to intestinal visceral smooth muscle development in the …,10.3410/f.10418957.11247055,Faculty Opinions Ltd
964,Computational and Experimental Models of Diatom-Bacteria Interaction,10.32469/10355/36756,University of Missouri Libraries
965,Computational and experimental models of the gastrointestinal environment 2. Phase behavior and drug solubilisation capacity of a Type I lipid-based drug  …,10.1021/acs.molpharmaceut.6b00887.s001,American Chemical Society (ACS)
966,Computational approaches for the discovery of splicing regulatory RNA structures,10.1016/j.bbagrm.2019.04.007,Elsevier BV
967,Computational chemogenomics drug repositioning strategy enables the discovery of Epirubicin as a new repurposed hit for P. falciparum and P. vivax,10.1128/aac.01843-20,American Society for Microbiology
968,Computational design of a potential multi-epitope subunit vaccine using immunoinformatics to fight Ebola virus,10.1016/j.meegid.2020.104464,Elsevier BV
969,Computational Design of Different Epitope-Based Vaccines Against Salmonella typhi,10.1007/s10989-019-09959-4,Springer Science and Business Media LLC
970,Computational Design of Ligand Binding Proteins,10.1007/978-1-4939-3569-7_8,Springer New York
971,Computational insights into promoter architecture of toxin-antitoxin systems of Mycobacterium tuberculosis,10.1016/j.gene.2017.10.054,Elsevier BV
972,Computational insights into the active structure of SGK1 and its implication for ligand design,10.1016/j.biochi.2019.07.007,Elsevier BV
973,Computationally Characterizing Protein-Bound Long Noncoding RNAs and Their Secondary Structure Using Protein Interaction Profile Sequencing (PIP-Seq) in …,10.1007/978-1-4939-9045-0_22,Springer New York
974,Computational methods for RNA integrative biology,10.1007/978-1-62703-709-9_19,Humana Press
975,Computational model for generating interactions in conversational recommender system based on product functional requirements,10.1016/j.datak.2020.101813,Elsevier BV
976,Computational modeling of cyclic peptide inhibitor–MDM2/MDMX binding through global docking and gaussian accelerated molecular dynamics simulations,10.1080/07391102.2020.1773317,Informa UK Limited
977,"Computational protein structure refinement: almost there, yet still so far to go",10.1002/wcms.1307,Wiley
978,"Computational resources associating diseases with genotypes, phenotypes and exposures",10.1093/bib/bby071,Oxford University Press (OUP)
979,Computational Resources for Prediction and Analysis of Functional miRNA and Their Targetome,10.1007/978-1-4939-8982-9_9,Springer New York
980,Computational Tools for Discovering and Engineering Natural Product Biosynthetic Pathways,10.1016/j.isci.2019.100795,Elsevier BV
981,"Computer-aided screening for potential TMPRSS2 inhibitors: a combination of pharmacophore modeling, molecular docking and molecular dynamics simulation …",10.1080/07391102.2020.1792346,Informa UK Limited
982,Computer modeling for pharmacological treatments for dystonia,10.1016/j.ddmod.2017.02.003,Elsevier BV
983,Computing as an evolving discipline,10.1109/mc.2007.165,Institute of Electrical and Electronics Engineers (IEEE)
984,Conceptual Design Report,10.2172/910923,Office of Scientific and Technical Information  (OSTI)
985,Concerning the Asymmetric Top Rotational Partition Function in Astronomical Spectroscopy,10.1016/j.jms.2020.111292,Elsevier BV
986,Conditional Self-Attention for Query-based Summarization,10.1109/bigcomp.2019.8679478,IEEE
987,CONDUCTING POLYMER MICROCONTAINERS FOR ORGANIC BIOELECTRONICS AND DRUG DELIVERY,10.1002/adma.201770285,Wiley
988,Conference Agenda,10.1787/9789264015272-26-en,Organisation for Economic Co-Operation and Development  (OECD)
989,Conference Proceeding for PROTEIN STRUCTURE AND DYNAMICS IN HEALTH AND AGRICULTURE,10.1117/12.2237046.5161498110001,SPIE-Intl Soc Optical Eng
990,Conference proceedings German Conference on Bioinformatics (GCB),10.1093/bioinformatics/bth353,Oxford University Press (OUP)
991,Conformational Insight on WT-and Mutated-EGFR Receptor Activation and Inhibition by Epigallocatechin-3-Gallate: Over a Rational Basis for the Design of Selective …,10.3390/ijms21051721,MDPI AG
992,Connexin 32 deficiency protects the liver against ischemia/reperfusion injury,10.1002/hep.21922,Wiley
993,Conrad Bessant (Ed.): Proteome informatics,10.1039/9781782626732-00001,Royal Society of Chemistry
994,"Consensus on ""Basal insulin in the management of Type 2 Diabetes: Which, When and How?",10.1002/psb.903,Wiley
995,Consensus on Insulin Dose Modification During Fasting in Type 2 Diabetes,10.26226/morressier.59d51842d462b80296ca3641,Morressier
996,Conserved redox-dependent DNA binding of ROXY glutaredoxins with TGA transcription factors,10.1002/pld3.30,Wiley
997,Consistency of color representation in smart phones,10.1364/josaa.33.00a300,The Optical Society
998,Consolidating Governance in Polycephalous Systems: a Framework for Bottom-Up Strategic Development,10.13007/299,IEDP Ideas for Leaders
999,Constraining AGN Feedback in Massive Ellipticals with South Pole Telescope Measurements of the Thermal Sunyaev-Zel'dovich Effect,10.3847/0004-637x/819/2/128,American Astronomical Society
1000,Constraining dark photons and their connection to 21 cm cosmology with CMB data,10.1016/j.physletb.2020.135420,Elsevier BV
1001,Constraining theories of gravity by fundamental plane of elliptical galaxies,10.1016/j.dark.2020.100573,Elsevier BV
1002,Constraints on dark matter from the Moon,10.1007/978-94-009-4772-6_101,Springer Netherlands
1003,Constraints on dark matter interactions from the first results of DarkSide-50,10.2172/1341802,Office of Scientific and Technical Information  (OSTI)
1004,CONSTRUCT VALIDITY AND TEST-RETEST RELIABILITY OF A FREE MOBILE APPLICATION FOR SPATIO-TEMPORAL GAIT ANALYSIS IN PARKINSON´S DISEASE PATIENTS,10.1016/j.gaitpost.2020.04.004,Elsevier BV
1005,Contact Details,10.1107/s2053229618012317/qp3014sup3.pdf,International Union of Crystallography (IUCr)
1006,containerit: Generating Dockerfiles for reproducible research with R,10.21105/joss.01603,The Open Journal
1007,Contaminations in mass cultivation of cyanobacteria: Highly resilient Colpoda steinii leads to rapid crash of Synechocystis sp. cultures and is inhibited by partially …,10.1016/j.algal.2017.11.002,Elsevier BV
1008,Content of major phenolic compounds in apples: Benefits of ultra-low oxygen conditions in long-term storage,10.1016/j.jfca.2020.103587,Elsevier BV
1009,Contents,10.1016/s0883-153x(00)88029-7,Elsevier BV
1010,Context and number of non‐canonical repeat variable diresidues (RVDs) impede the design of TALE proteins with improved DNA targeting,10.1002/pro.3801,Wiley
1011,Continuous chromosome-scale haplotypes assembled from a single interspecies F1 hybrid of yak and cattle,10.1093/gigascience/giaa029,Oxford University Press (OUP)
1012,"Contract, Conflict and Cooperation: A Critical Analysis of the Common Law Approach to the Breakdown of Modern, Complex, Symbiotic Contracts",10.5040/9781472564894.ch-010,Hart Publishing
1013,Contrasting transcriptional programs control post-harvest development of apples (Malus x domestica Borkh.) submitted to cold storage and ethylene blockage,10.1021/acs.jafc.7b01425.s001,American Chemical Society (ACS)
1014,Contribution of Untargeted Metabolomics for Future Assessment of Biotech Crops,10.1016/j.tplants.2018.09.011,Elsevier BV
1015,Controlling Saprolegnia Infections For A Sustainable Aquaculture,10.1016/0044-8486(73)90170-1,Elsevier BV
1016,Controlling Supramolecular Chirality in Multicomponent Self-Assembled Systems,10.1021/acs.accounts.8b00312.s001,American Chemical Society (ACS)
1017,Convergent evolution of a vertebrate-like methylome in a marine sponge,10.1038/s41559-019-0983-2,Springer Science and Business Media LLC
1018,Conversations with Leading Academic and Research Library Directors: International Perspectives on Library Management,10.1016/b978-0-08-102746-2.00041-8,Elsevier
1019,COOLCEPT Women Fashion Boots Lace Up Red2 IpVx1s6LP,10.1080/17498430.2017.1392151,Informa UK Limited
1020,Coping with salinity in irrigated agriculture: Crop evapotranspiration and water management issues,10.1016/j.agwat.2019.105832,Elsevier BV
1021,Copy number variation and expression analysis reveals a non-orthologous pinta gene family member involved in butterfly vision,10.1093/gbe/evx230,Oxford University Press (OUP)
1022,Coqui Clogs shoes Unisex available in various colours antracit eBnqj6b9,10.1038/scientificamerican01091892-16a,Springer Science and Business Media LLC
1023,"Co-regulation of the Cytochrome P450 24A1 gene in a model of kidney fibrosis by 1, 25-dihydroxyvitamin D3 and growth factors",10.1016/j.jsbmb.2006.09.041,Elsevier BV
1024,Corporate Capitalism's Use of Openness: Profit for Free?,10.1007/978-3-030-28219-6,Springer International Publishing
1025,"Correction: Marques, A. et al. Evolution of Plant B Chromosome Enriched Sequences. Genes 2018, 9, 515",10.3390/genes10020085,MDPI AG
1026,Corrigendum to: Rice Galaxy: an open resource for plant science,10.1093/gigascience/giz156,Oxford University Press (OUP)
1027,Cortical and subcortical contributions to context-control learning,10.1016/j.neubiorev.2019.01.019,Elsevier BV
1028,Cosmic-ray ionization in diffuse molecular clouds,10.1063/1.5067263,Author(s)
1029,CosmoHub: Interactive exploration and distribution of astronomical data on Hadoop,10.1016/j.ascom.2020.100391,Elsevier BV
1030,"Cosmological consequences of parameterized f(R,∇R) gravity",10.1007/978-1-4613-2701-1_23,Springer US
1031,Cost-effectiveness of non-invasive screening for alcohol-related liver fibrosis,10.1002/hep.30979,Wiley
1032,Cost-Effectiveness Of Once-Daily Single-Inhaler Triple Therapy In COPD: The IMPACT Trial,10.2147/copd.s216072,Informa UK Limited
1033,Coupling dynamics for power systems with iterative discrete decision making architectures,10.1016/j.epsr.2016.03.041,Elsevier BV
1034,COURSE STRUCTURE 2016-17,10.7591/9781501701863-025,Cornell University Press
1035,Course Structure for 2018-19 Batch,10.2210/pdb6b6x/pdb,Worldwide Protein Data Bank
1036,COURSE STRUCTURE HUMANITIES AND SOCIAL SCIENCE COURSES Sl No,10.18260/p.25671,ASEE Conferences
1037,CoVaCS: a consensus variant calling system,10.1186/s12864-018-4508-1,Springer Science and Business Media LLC
1038,Covariate-assisted ranking and screening for large-scale two-sample inference,10.1111/rssb.12304,Wiley
1039,Cr1000 Measurement Control System,10.1016/j.proenv.2012.01.399,Elsevier BV
1040,Creating and Capturing Value through Crowdsourcing,10.1093/oso/9780198816225.001.0001,Oxford University Press
1041,Creating a Virtual Science Lab (VSL): the adoption of virtual labs in Saudi schools,10.1186/s40561-018-0067-9,Springer Science and Business Media LLC
1042,Creation and analysis of biochemical constraint-based models: the COBRA Toolbox v3. 0,10.1093/bioinformatics/btr308,Oxford University Press (OUP)
1043,CREU 2016-2017 Final Report: Harvesting Viral Genomes from Sequences of Complex Communities,10.7717/peerj.6695,PeerJ
1044,Crime clock – analytical studies for approximating time since deposition of bloodstains,10.1016/j.forc.2020.100248,Elsevier BV
1045,"Crime drama and national identity on Australian television, 1960–2019",10.4324/9780429288128-3,Routledge
1046,CRISPR-Cas9 System as a Genome Editing Tool in Sugarcane,10.1007/978-3-319-58946-6_11,Springer International Publishing
1047,CRISPR GENOME SURGERY IN THE RETINA IN LIGHT OF OFF-TARGETING.,10.1097/iae.0000000000002197,Ovid Technologies (Wolters Kluwer Health)
1048,CRISPRMatch: An Automatic Calculation and Visualization Tool for High-throughput CRISPR Genome-editing Data Analysis,10.7150/ijbs.24581,Ivyspring International Publisher
1049,Critical appraisal of STAT3 pattern in adult cardiomyocytes,10.1002/ace.20084,Wiley
1050,Critical review on the origin of atmospheric oxygen: Where is organic matter?,10.1016/j.pss.2020.105023,Elsevier BV
1051,Cross-domain Ontology Construction and Alignment from Online Customer Product Reviews,10.1145/3366424.3383755,ACM
1052,"Cross-incompatibility in the cultivated almond (Prunus dulcis): Updating, revision and correction",10.1016/j.scienta.2018.09.054,Elsevier BV
1053,Cross-kingdom auxiliary subunit modulation of a voltage-gated Sodium channel,10.1074/jbc.ra117.000852,American Society for Biochemistry & Molecular Biology (ASBMB)
1054,CrowdCorrect: A Curation Pipeline for Social Data Cleansing and Curation,10.1007/978-3-319-92901-9_3,Springer International Publishing
1055,Crowd-sourced automated review of forensic files,10.5703/1288284316061,Purdue University
1056,Crowd-sourced research,10.7765/9781526153401.00015,Manchester University Press
1057,Crowdsourcing Critical Appraisal of Research Evidence (CrowdCARE) was found to be a valid approach to assessing clinical research quality,10.1016/j.jclinepi.2018.07.015,Elsevier BV
1058,Crowdsourcing design decisions for optimal integration into the company innovation system,10.1016/j.dss.2018.09.005,Elsevier BV
1059,"Crystal packing arrangement, chain conformation and physicochemical properties of gemfibrozil amine salts",10.1021/acs.cgd.7b00352.s001,American Chemical Society (ACS)
1060,Crystal structure of the catalytic domain of HIV-1 restriction factor APOBEC3G in complex with ssDNA,10.2210/pdb6bux/pdb,Worldwide Protein Data Bank
1061,Cultural landscapes and attributes of “culturalness” in protected areas: An exploratory assessment in Greece,10.1016/j.scitotenv.2017.03.211,Elsevier BV
1062,Culture and Food Security,10.1016/j.gfs.2018.02.002,Elsevier BV
